Date,VHYAX
2022-11-28,33.45000076293945
2022-11-29,33.529998779296875
2022-11-30,34.13999938964844
2022-12-01,34.08000183105469
2022-12-02,34.06999969482422
2022-12-05,33.470001220703125
2022-12-06,33.130001068115234
2022-12-07,33.130001068115234
2022-12-08,33.29999923706055
2022-12-09,33.0099983215332
2022-12-12,33.5
2022-12-13,33.61000061035156
2022-12-14,33.470001220703125
2022-12-15,32.869998931884766
2022-12-16,32.27000045776367
2022-12-19,32.16999816894531
2022-12-20,32.2400016784668
2022-12-21,32.66999816894531
2022-12-22,32.38999938964844
2022-12-23,32.650001525878906
2022-12-27,32.7400016784668
2022-12-28,32.400001525878906
2022-12-29,32.720001220703125
2022-12-30,32.630001068115234
2023-01-03,32.56999969482422
2023-01-04,32.849998474121094
