Date,HOLO
2024-05-29,30.799999237060547
2024-05-30,27.600000381469727
2024-05-31,29.0
2024-06-03,30.0
2024-06-04,39.599998474121094
2024-06-05,33.400001525878906
2024-06-06,35.0
2024-06-07,32.79999923706055
2024-06-10,31.0
2024-06-11,29.600000381469727
2024-06-12,27.600000381469727
2024-06-13,28.0
2024-06-14,26.399999618530273
2024-06-17,23.600000381469727
2024-06-18,18.899999618530273
2024-06-20,19.399999618530273
2024-06-21,19.3799991607666
2024-06-24,21.399999618530273
2024-06-25,18.8799991607666
2024-06-26,18.739999771118164
2024-06-27,16.100000381469727
2024-06-28,16.420000076293945
2024-07-01,18.479999542236328
2024-07-02,17.81999969482422
2024-07-03,19.0
2024-07-05,16.0
2024-07-08,16.360000610351562
2024-07-09,16.100000381469727
2024-07-10,12.819999694824219
2024-07-11,13.300000190734863
2024-07-12,12.300000190734863
2024-07-15,12.779999732971191
2024-07-16,12.119999885559082
2024-07-17,11.720000267028809
2024-07-18,10.619999885559082
2024-07-19,10.760000228881836
2024-07-22,9.319999694824219
2024-07-23,11.699999809265137
2024-07-24,9.079999923706055
2024-07-25,10.600000381469727
2024-07-26,9.84000015258789
2024-07-29,8.899999618530273
2024-07-30,8.479999542236328
2024-07-31,9.15999984741211
2024-08-01,8.479999542236328
2024-08-02,8.039999961853027
2024-08-05,8.140000343322754
2024-08-06,7.380000114440918
2024-08-07,6.820000171661377
2024-08-08,6.519999980926514
2024-08-09,6.159999847412109
2024-08-12,5.840000152587891
2024-08-13,6.380000114440918
2024-08-14,5.820000171661377
2024-08-15,5.820000171661377
2024-08-16,5.840000152587891
2024-08-19,8.34000015258789
2024-08-20,9.239999771118164
2024-08-21,10.5
2024-08-22,13.880000114440918
2024-08-23,11.380000114440918
2024-08-26,10.180000305175781
2024-08-27,8.460000038146973
2024-08-28,6.960000038146973
2024-08-29,7.0
2024-08-30,8.300000190734863
2024-09-03,7.840000152587891
2024-09-04,7.0
2024-09-05,6.519999980926514
2024-09-06,5.920000076293945
2024-09-09,6.159999847412109
2024-09-10,5.940000057220459
2024-09-11,5.739999771118164
2024-09-12,5.260000228881836
2024-09-13,4.78000020980835
2024-09-16,4.699999809265137
2024-09-17,4.380000114440918
2024-09-18,4.039999961853027
2024-09-19,4.639999866485596
2024-09-20,4.900000095367432
2024-09-23,4.639999866485596
2024-09-24,4.599999904632568
2024-09-25,4.820000171661377
2024-09-26,5.760000228881836
2024-09-27,5.619999885559082
2024-09-30,7.199999809265137
2024-10-01,7.820000171661377
2024-10-02,6.880000114440918
2024-10-03,5.28000020980835
2024-10-04,4.960000038146973
2024-10-07,5.599999904632568
2024-10-08,5.179999828338623
2024-10-09,6.570000171661377
2024-10-10,5.75
2024-10-11,5.369999885559082
2024-10-14,5.309999942779541
2024-10-15,5.659999847412109
2024-10-16,5.21999979019165
2024-10-17,4.659999847412109
2024-10-18,4.650000095367432
2024-10-21,4.46999979019165
2024-10-22,4.340000152587891
2024-10-23,4.150000095367432
2024-10-24,3.799999952316284
2024-10-25,3.575000047683716
2024-10-28,3.369999885559082
2024-10-29,3.3399999141693115
2024-10-30,2.8499999046325684
2024-10-31,2.490000009536743
2024-11-01,3.180000066757202
2024-11-04,2.6500000953674316
2024-11-05,2.75
2024-11-06,2.5799999237060547
2024-11-07,3.009999990463257
2024-11-08,2.809999942779541
2024-11-11,2.990000009536743
2024-11-12,2.75
2024-11-13,2.559999942779541
2024-11-14,2.609999895095825
2024-11-15,2.4200000762939453
2024-11-18,2.25
2024-11-19,2.309999942779541
2024-11-20,2.1600000858306885
2024-11-21,2.049999952316284
