Date,DBGI
2024-04-22,2.880000114440918
2024-04-23,2.930000066757202
2024-04-24,3.140000104904175
2024-04-25,3.109999895095825
2024-04-26,3.059999942779541
2024-04-29,2.8499999046325684
2024-04-30,2.819999933242798
2024-05-01,2.75
2024-05-02,2.940000057220459
2024-05-03,2.7100000381469727
2024-05-06,2.6600000858306885
2024-05-07,2.5799999237060547
2024-05-08,2.490000009536743
2024-05-09,2.2699999809265137
2024-05-10,2.2850000858306885
2024-05-13,2.430000066757202
2024-05-14,2.5
2024-05-15,2.690000057220459
2024-05-16,2.7100000381469727
2024-05-17,2.609999895095825
2024-05-20,2.109999895095825
2024-05-21,2.069999933242798
2024-05-22,2.0299999713897705
2024-05-23,2.0
2024-05-24,1.8700000047683716
2024-05-28,1.75
2024-05-29,1.8600000143051147
2024-05-30,1.8899999856948853
2024-05-31,1.8700000047683716
2024-06-03,1.7400000095367432
2024-06-04,1.7100000381469727
2024-06-05,1.6299999952316284
2024-06-06,1.600000023841858
2024-06-07,1.6579999923706055
2024-06-10,1.7599999904632568
2024-06-11,1.7300000190734863
2024-06-12,1.9299999475479126
2024-06-13,1.7999999523162842
2024-06-14,1.649999976158142
2024-06-17,1.5499999523162842
2024-06-18,1.4500000476837158
2024-06-20,1.4700000286102295
2024-06-21,1.3799999952316284
2024-06-24,1.3799999952316284
2024-06-25,1.4199999570846558
2024-06-26,1.3700000047683716
2024-06-27,1.4199999570846558
2024-06-28,1.465000033378601
2024-07-01,1.4620000123977661
2024-07-02,1.4199999570846558
2024-07-03,1.4249999523162842
2024-07-05,1.5160000324249268
2024-07-08,1.5499999523162842
2024-07-09,1.7200000286102295
2024-07-10,1.600000023841858
2024-07-11,1.7200000286102295
2024-07-12,1.7000000476837158
2024-07-15,1.6200000047683716
2024-07-16,1.6699999570846558
2024-07-17,1.6399999856948853
2024-07-18,1.559999942779541
2024-07-19,1.5199999809265137
2024-07-22,1.4700000286102295
2024-07-23,1.4500000476837158
2024-07-24,1.2899999618530273
2024-07-25,1.2599999904632568
2024-07-26,1.350000023841858
2024-07-29,1.4600000381469727
2024-07-30,1.600000023841858
2024-07-31,1.25
2024-08-01,1.159999966621399
2024-08-02,1.1699999570846558
2024-08-05,1.0800000429153442
2024-08-06,1.0700000524520874
2024-08-07,1.0399999618530273
2024-08-08,0.9909999966621399
2024-08-09,1.059999942779541
2024-08-12,1.024999976158142
2024-08-13,1.0199999809265137
2024-08-14,1.0119999647140503
2024-08-15,1.0269999504089355
2024-08-16,1.034999966621399
2024-08-19,1.090000033378601
2024-08-20,0.8999999761581421
2024-08-21,0.9229999780654907
2024-08-22,0.9039999842643738
2024-08-23,0.800000011920929
2024-08-26,0.7350000143051147
2024-08-27,0.8299999833106995
2024-08-28,0.781000018119812
2024-08-29,0.796999990940094
2024-08-30,0.8799999952316284
2024-09-03,0.8360000252723694
2024-09-04,0.8399999737739563
2024-09-05,0.8510000109672546
2024-09-06,0.9279999732971191
2024-09-09,0.7250000238418579
2024-09-10,0.6299999952316284
2024-09-11,0.6240000128746033
2024-09-12,0.5099999904632568
2024-09-13,0.5580000281333923
2024-09-16,0.5
2024-09-17,0.49799999594688416
2024-09-18,0.48899999260902405
2024-09-19,0.5099999904632568
2024-09-20,0.5
2024-09-23,0.5149999856948853
2024-09-24,0.5090000033378601
2024-09-25,0.4000000059604645
2024-09-26,0.3199999928474426
2024-09-27,0.3499999940395355
2024-09-30,0.335999995470047
2024-10-01,0.3330000042915344
2024-10-02,0.3199999928474426
2024-10-03,0.3109999895095825
2024-10-04,0.29899999499320984
2024-10-07,0.28299999237060547
2024-10-08,0.20499999821186066
2024-10-09,0.19300000369548798
2024-10-10,0.18000000715255737
2024-10-11,0.17499999701976776
2024-10-14,0.1599999964237213
2024-10-15,0.23000000417232513
2024-10-16,0.20399999618530273
2024-10-17,0.20000000298023224
2024-10-18,0.20800000429153442
2024-10-21,0.24400000274181366
2024-10-22,0.36500000953674316
2024-10-23,0.2540000081062317
2024-10-24,0.24199999868869781
2024-10-25,0.23499999940395355
2024-10-28,0.1550000011920929
2024-10-29,0.10199999809265137
2024-10-30,0.11400000005960464
2024-10-31,0.10400000214576721
2024-11-01,0.10100000351667404
2024-11-04,0.09700000286102295
2024-11-05,0.10000000149011612
2024-11-06,0.12200000137090683
2024-11-07,0.11500000208616257
2024-11-08,0.11400000005960464
2024-11-11,0.10700000077486038
2024-11-12,0.1289999932050705
2024-11-13,0.1809999942779541
2024-11-14,0.13600000739097595
2024-11-15,0.0989999994635582
2024-11-18,0.0989999994635582
2024-11-19,0.11699999868869781
2024-11-20,0.13500000536441803
2024-11-21,0.12700000405311584
