Date,ADTX
2024-03-18,124.80000305175781
2024-03-19,122.0
2024-03-20,128.39999389648438
2024-03-21,123.5999984741211
2024-03-22,125.5999984741211
2024-03-25,127.0
2024-03-26,124.19999694824219
2024-03-27,121.5999984741211
2024-03-28,136.0
2024-04-01,127.19999694824219
2024-04-02,134.8000030517578
2024-04-03,123.5999984741211
2024-04-04,129.60000610351562
2024-04-05,124.4000015258789
2024-04-08,124.4000015258789
2024-04-09,132.0
2024-04-10,124.80000305175781
2024-04-11,126.0
2024-04-12,120.4000015258789
2024-04-15,106.80000305175781
2024-04-16,97.19999694824219
2024-04-17,94.0
2024-04-18,96.4000015258789
2024-04-19,94.0
2024-04-22,88.80000305175781
2024-04-23,90.80000305175781
2024-04-24,94.80000305175781
2024-04-25,101.19999694824219
2024-04-26,95.5999984741211
2024-04-29,96.4000015258789
2024-04-30,96.4000015258789
2024-05-01,96.4000015258789
2024-05-02,98.80000305175781
2024-05-03,92.0
2024-05-06,86.4000015258789
2024-05-07,81.5999984741211
2024-05-08,84.0
2024-05-09,82.80000305175781
2024-05-10,82.80000305175781
2024-05-13,82.4000015258789
2024-05-14,88.0
2024-05-15,82.0
2024-05-16,80.4000015258789
2024-05-17,80.4000015258789
2024-05-20,83.5999984741211
2024-05-21,83.19999694824219
2024-05-22,84.4000015258789
2024-05-23,82.80000305175781
2024-05-24,81.19999694824219
2024-05-28,80.4000015258789
2024-05-29,79.5999984741211
2024-05-30,78.0
2024-05-31,76.80000305175781
2024-06-03,79.5999984741211
2024-06-04,76.4000015258789
2024-06-05,80.4000015258789
2024-06-06,77.5199966430664
2024-06-07,77.19999694824219
2024-06-10,76.4000015258789
2024-06-11,76.0
2024-06-12,76.80000305175781
2024-06-13,71.19999694824219
2024-06-14,64.80000305175781
2024-06-17,62.400001525878906
2024-06-18,57.599998474121094
2024-06-20,59.20000076293945
2024-06-21,56.0
2024-06-24,56.400001525878906
2024-06-25,57.439998626708984
2024-06-26,55.599998474121094
2024-06-27,55.599998474121094
2024-06-28,54.79999923706055
2024-07-01,63.20000076293945
2024-07-02,58.599998474121094
2024-07-03,60.0
2024-07-05,58.400001525878906
2024-07-08,59.599998474121094
2024-07-09,67.5999984741211
2024-07-10,66.80000305175781
2024-07-11,64.0
2024-07-12,64.4000015258789
2024-07-15,60.400001525878906
2024-07-16,64.0
2024-07-17,92.80000305175781
2024-07-18,75.19999694824219
2024-07-19,64.0
2024-07-22,56.0
2024-07-23,59.20000076293945
2024-07-24,56.400001525878906
2024-07-25,55.20000076293945
2024-07-26,54.0
2024-07-29,53.599998474121094
2024-07-30,47.599998474121094
2024-07-31,47.599998474121094
2024-08-01,42.79999923706055
2024-08-02,41.599998474121094
2024-08-05,36.2400016784668
2024-08-06,39.880001068115234
2024-08-07,51.599998474121094
2024-08-08,50.0
2024-08-09,49.20000076293945
2024-08-12,43.599998474121094
2024-08-13,44.400001525878906
2024-08-14,44.400001525878906
2024-08-15,44.79999923706055
2024-08-16,46.400001525878906
2024-08-19,45.599998474121094
2024-08-20,38.0
2024-08-21,39.599998474121094
2024-08-22,38.0
2024-08-23,35.91999816894531
2024-08-26,31.719999313354492
2024-08-27,29.8799991607666
2024-08-28,25.079999923706055
2024-08-29,23.15999984741211
2024-08-30,25.68000030517578
2024-09-03,24.0
2024-09-04,19.280000686645508
2024-09-05,17.559999465942383
2024-09-06,18.639999389648438
2024-09-09,19.040000915527344
2024-09-10,19.84000015258789
2024-09-11,19.520000457763672
2024-09-12,20.0
2024-09-13,18.0
2024-09-16,18.0
2024-09-17,17.920000076293945
2024-09-18,17.84000015258789
2024-09-19,15.920000076293945
2024-09-20,15.319999694824219
2024-09-23,10.760000228881836
2024-09-24,9.039999961853027
2024-09-25,8.680000305175781
2024-09-26,8.800000190734863
2024-09-27,6.519999980926514
2024-09-30,4.28000020980835
2024-10-01,4.440000057220459
2024-10-02,2.700000047683716
2024-10-03,1.940000057220459
2024-10-04,1.600000023841858
2024-10-07,1.4900000095367432
2024-10-08,1.409999966621399
2024-10-09,1.2100000381469727
2024-10-10,1.2300000190734863
2024-10-11,1.159999966621399
2024-10-14,1.100000023841858
2024-10-15,1.1200000047683716
2024-10-16,1.1100000143051147
2024-10-17,1.0800000429153442
2024-10-18,1.0499999523162842
2024-10-21,1.090000033378601
2024-10-22,1.0199999809265137
2024-10-23,0.9200000166893005
2024-10-24,0.7950000166893005
2024-10-25,0.8379999995231628
2024-10-28,0.7149999737739563
2024-10-29,0.5860000252723694
2024-10-30,0.5519999861717224
2024-10-31,0.5550000071525574
2024-11-01,0.5299999713897705
2024-11-04,0.49000000953674316
2024-11-05,0.4740000069141388
2024-11-06,0.4749999940395355
2024-11-07,0.3700000047683716
2024-11-08,0.3569999933242798
2024-11-11,0.36899998784065247
2024-11-12,0.36899998784065247
2024-11-13,0.3479999899864197
2024-11-14,0.3490000069141388
2024-11-15,0.3230000138282776
2024-11-18,0.33899998664855957
2024-11-19,0.3499999940395355
2024-11-20,0.33899998664855957
2024-11-21,0.32499998807907104
