Date,MULN
2024-01-30,719.0
2024-01-31,702.0
2024-02-01,727.0
2024-02-02,706.0
2024-02-05,685.0
2024-02-06,690.0
2024-02-07,675.0
2024-02-08,687.0
2024-02-09,697.0
2024-02-12,770.0
2024-02-13,698.0
2024-02-14,707.0
2024-02-15,761.0
2024-02-16,913.0
2024-02-20,803.0
2024-02-21,821.0
2024-02-22,740.0
2024-02-23,720.0
2024-02-26,706.0
2024-02-27,731.0
2024-02-28,711.0
2024-02-29,712.0
2024-03-01,702.0
2024-03-04,688.0
2024-03-05,656.0
2024-03-06,635.0
2024-03-07,677.0
2024-03-08,682.0
2024-03-11,673.0
2024-03-12,655.0
2024-03-13,640.0
2024-03-14,572.0
2024-03-15,550.0
2024-03-18,516.0
2024-03-19,465.0
2024-03-20,459.0
2024-03-21,457.0
2024-03-22,421.0
2024-03-25,455.0
2024-03-26,431.0
2024-03-27,435.0
2024-03-28,520.0
2024-04-01,500.0
2024-04-02,466.0
2024-04-03,448.0
2024-04-04,408.0
2024-04-05,400.0
2024-04-08,411.0
2024-04-09,399.0
2024-04-10,402.0
2024-04-11,394.0
2024-04-12,377.0
2024-04-15,323.0
2024-04-16,324.0
2024-04-17,288.0
2024-04-18,291.0
2024-04-19,260.0
2024-04-22,255.0
2024-04-23,273.0
2024-04-24,377.0
2024-04-25,317.0
2024-04-26,316.0
2024-04-29,572.0
2024-04-30,629.0
2024-05-01,491.0
2024-05-02,463.0
2024-05-03,417.0
2024-05-06,603.0
2024-05-07,574.0
2024-05-08,683.0
2024-05-09,640.0
2024-05-10,609.0
2024-05-13,578.0
2024-05-14,613.0
2024-05-15,560.0
2024-05-16,562.0
2024-05-17,486.0
2024-05-20,473.0
2024-05-21,432.0
2024-05-22,438.0
2024-05-23,401.0
2024-05-24,436.0
2024-05-28,417.0
2024-05-29,380.0
2024-05-30,390.0
2024-05-31,453.0
2024-06-03,400.0
2024-06-04,380.0
2024-06-05,352.0
2024-06-06,318.0
2024-06-07,286.0
2024-06-10,283.0
2024-06-11,283.0
2024-06-12,280.0
2024-06-13,267.0
2024-06-14,266.0
2024-06-17,267.0
2024-06-18,255.0
2024-06-20,268.0
2024-06-21,268.0
2024-06-24,266.0
2024-06-25,260.0
2024-06-26,248.0
2024-06-27,254.0
2024-06-28,240.0
2024-07-01,242.0
2024-07-02,234.0
2024-07-03,240.0
2024-07-05,230.0
2024-07-08,229.0
2024-07-09,222.0
2024-07-10,218.0
2024-07-11,215.0
2024-07-12,208.0
2024-07-15,199.0
2024-07-16,185.0
2024-07-17,172.0
2024-07-18,160.0
2024-07-19,146.0
2024-07-22,142.0
2024-07-23,137.0
2024-07-24,123.0
2024-07-25,120.0
2024-07-26,115.0
2024-07-29,112.0
2024-07-30,135.0
2024-07-31,116.0
2024-08-01,101.0
2024-08-02,88.0
2024-08-05,77.0
2024-08-06,81.0
2024-08-07,72.0
2024-08-08,72.0
2024-08-09,60.0
2024-08-12,53.0
2024-08-13,44.0
2024-08-14,37.0
2024-08-15,34.0
2024-08-16,27.0
2024-08-19,25.0
2024-08-20,24.0
2024-08-21,25.0
2024-08-22,36.0
2024-08-23,34.0
2024-08-26,36.0
2024-08-27,30.0
2024-08-28,27.0
2024-08-29,24.0
2024-08-30,22.0
2024-09-03,21.0
2024-09-04,22.0
2024-09-05,22.0
2024-09-06,19.0
2024-09-09,17.0
2024-09-10,14.0
2024-09-11,18.0
2024-09-12,17.0
2024-09-13,13.0
2024-09-16,12.0
2024-09-17,10.449999809265137
2024-09-18,8.029999732971191
2024-09-19,7.690000057220459
2024-09-20,6.679999828338623
2024-09-23,5.860000133514404
2024-09-24,5.070000171661377
2024-09-25,4.650000095367432
2024-09-26,4.21999979019165
2024-09-27,3.640000104904175
2024-09-30,3.1500000953674316
2024-10-01,3.2200000286102295
2024-10-02,2.75
2024-10-03,2.4800000190734863
2024-10-04,2.509999990463257
2024-10-07,2.609999895095825
2024-10-08,2.309999942779541
2024-10-09,2.25
2024-10-10,2.240000009536743
2024-10-11,2.130000114440918
2024-10-14,2.5299999713897705
2024-10-15,2.2699999809265137
2024-10-16,2.2799999713897705
2024-10-17,2.359999895095825
2024-10-18,2.7200000286102295
2024-10-21,2.799999952316284
2024-10-22,2.950000047683716
2024-10-23,2.430000066757202
2024-10-24,2.640000104904175
2024-10-25,2.799999952316284
2024-10-28,2.5299999713897705
2024-10-29,2.309999942779541
2024-10-30,2.3299999237060547
2024-10-31,2.049999952316284
2024-11-01,1.9299999475479126
2024-11-04,1.8300000429153442
2024-11-05,1.8700000047683716
2024-11-06,1.7200000286102295
2024-11-07,1.7599999904632568
2024-11-08,1.649999976158142
2024-11-11,1.7100000381469727
2024-11-12,2.9800000190734863
2024-11-13,3.2699999809265137
2024-11-14,3.450000047683716
2024-11-15,2.5399999618530273
2024-11-18,2.819999933242798
2024-11-19,2.559999942779541
2024-11-20,2.700000047683716
2024-11-21,3.200000047683716
