Date,CNSP
2024-09-23,0.14000000059604645
2024-09-24,0.14300000667572021
2024-09-25,0.14300000667572021
2024-09-26,0.14000000059604645
2024-09-27,0.14100000262260437
2024-09-30,0.13099999725818634
2024-10-01,0.12999999523162842
2024-10-02,0.12300000339746475
2024-10-03,0.11999999731779099
2024-10-04,0.11999999731779099
2024-10-07,0.11400000005960464
2024-10-08,0.12700000405311584
2024-10-09,0.12300000339746475
2024-10-10,0.11699999868869781
2024-10-11,0.11800000071525574
2024-10-14,0.12399999797344208
2024-10-15,0.12399999797344208
2024-10-16,0.12300000339746475
2024-10-17,0.11999999731779099
2024-10-18,0.12200000137090683
2024-10-21,0.1459999978542328
2024-10-22,0.15700000524520874
2024-10-23,0.14100000262260437
2024-10-24,0.1459999978542328
2024-10-25,0.13199999928474426
2024-10-28,0.14499999582767487
2024-10-29,0.1379999965429306
2024-10-30,0.12200000137090683
2024-10-31,0.1120000034570694
2024-11-01,0.11299999803304672
2024-11-04,0.10700000077486038
2024-11-05,0.11100000143051147
2024-11-06,0.10999999940395355
2024-11-07,0.11299999803304672
2024-11-08,0.11699999868869781
2024-11-11,0.12800000607967377
2024-11-12,0.12800000607967377
2024-11-13,0.125
2024-11-14,0.11900000274181366
2024-11-15,0.10499999672174454
2024-11-18,0.11999999731779099
2024-11-19,0.12700000405311584
2024-11-20,0.12399999797344208
2024-11-21,0.12999999523162842
