Date,EBAY
2022-11-25,45.040000915527344
2022-11-28,44.33000183105469
2022-11-29,43.77000045776367
2022-11-30,45.439998626708984
2022-12-01,45.15999984741211
2022-12-02,45.20000076293945
2022-12-05,43.939998626708984
2022-12-06,43.349998474121094
2022-12-07,43.15999984741211
2022-12-08,43.880001068115234
2022-12-09,43.63999938964844
2022-12-12,43.720001220703125
2022-12-13,43.720001220703125
2022-12-14,43.75
2022-12-15,42.290000915527344
2022-12-16,41.0
2022-12-19,41.34000015258789
2022-12-20,40.970001220703125
2022-12-21,41.279998779296875
2022-12-22,40.119998931884766
2022-12-23,40.16999816894531
2022-12-27,40.08000183105469
2022-12-28,39.91999816894531
2022-12-29,41.81999969482422
2022-12-30,41.470001220703125
2023-01-03,42.150001525878906
2023-01-04,43.09000015258789
