Date,J
2023-11-08,110.79364776611328
2023-11-09,110.47618865966797
2023-11-10,111.89640808105469
2023-11-13,111.84628295898438
2023-11-14,114.49456787109375
2023-11-15,114.45279693603516
2023-11-16,111.19465637207031
2023-11-17,113.0492935180664
2023-11-20,114.43608856201172
2023-11-21,104.49456787109375
2023-11-22,103.55889892578125
2023-11-24,103.06599426269531
2023-11-27,102.26399230957031
2023-11-28,103.64244079589844
2023-11-29,105.43024444580078
2023-11-30,106.24895477294922
2023-12-01,108.23725891113281
2023-12-04,108.02840423583984
2023-12-05,106.63324737548828
2023-12-06,107.60234069824219
2023-12-07,107.24311065673828
2023-12-08,106.34085083007812
2023-12-11,107.14286041259766
2023-12-12,107.43525695800781
2023-12-13,107.75271606445312
2023-12-14,107.68588256835938
2023-12-15,105.92314147949219
2023-12-18,105.58897399902344
2023-12-19,107.55221557617188
2023-12-20,105.38011932373047
2023-12-21,106.5497055053711
2023-12-22,106.99247741699219
2023-12-26,107.08438110351562
2023-12-27,108.73851013183594
2023-12-28,108.63825988769531
2023-12-29,108.43775939941406
2024-01-02,106.908935546875
2024-01-03,105.94820404052734
2024-01-04,105.62239074707031
2024-01-05,105.7477035522461
2024-01-08,107.46031951904297
2024-01-09,109.49874877929688
2024-01-10,110.23391723632812
2024-01-11,110.56808471679688
2024-01-12,111.80451202392578
2024-01-16,110.33416748046875
2024-01-17,108.97242736816406
2024-01-18,110.08354187011719
2024-01-19,110.50125122070312
2024-01-22,111.62907409667969
2024-01-23,112.0384292602539
2024-01-24,112.02172088623047
2024-01-25,113.37510681152344
2024-01-26,114.61152648925781
2024-01-29,115.2130355834961
2024-01-30,115.54720306396484
2024-01-31,112.58980560302734
2024-02-01,114.41102600097656
2024-02-02,115.53884887695312
2024-02-05,114.45279693603516
2024-02-06,116.88387298583984
2024-02-07,119.94987487792969
2024-02-08,119.60735321044922
2024-02-09,121.57059478759766
2024-02-12,121.57059478759766
2024-02-13,119.51545715332031
2024-02-14,120.54302215576172
2024-02-15,123.05764770507812
2024-02-16,123.25814819335938
2024-02-20,121.44528198242188
2024-02-21,120.76858520507812
2024-02-22,121.92147064208984
2024-02-23,122.79866027832031
2024-02-26,122.37259674072266
2024-02-27,123.0492935180664
2024-02-28,122.91561889648438
2024-02-29,122.51461791992188
2024-03-01,122.48955535888672
2024-03-04,122.92398071289062
2024-03-05,122.90726470947266
2024-03-06,122.74018096923828
2024-03-07,124.2522964477539
2024-03-08,122.74853515625
2024-03-11,123.51712799072266
2024-03-12,124.62823486328125
2024-03-13,125.84795379638672
2024-03-14,124.75354766845703
2024-03-15,124.45279693603516
2024-03-18,123.57560729980469
