Date,FRT
2022-11-23,109.52999877929688
2022-11-25,110.25
2022-11-28,107.66999816894531
2022-11-29,110.05999755859375
2022-11-30,111.0999984741211
2022-12-01,109.0199966430664
2022-12-02,109.44000244140625
2022-12-05,107.01000213623047
2022-12-06,106.7300033569336
2022-12-07,107.19000244140625
2022-12-08,107.70999908447266
2022-12-09,107.6500015258789
2022-12-12,107.6500015258789
2022-12-13,108.55000305175781
2022-12-14,108.77999877929688
2022-12-15,104.48999786376953
2022-12-16,102.52999877929688
2022-12-19,101.3499984741211
2022-12-20,100.87999725341797
2022-12-21,101.76000213623047
2022-12-22,101.25
2022-12-23,102.33999633789062
2022-12-27,102.5199966430664
2022-12-28,100.66999816894531
2022-12-29,102.2300033569336
2022-12-30,101.04000091552734
2023-01-03,102.66000366210938
