Date,GRFS
2022-11-25,8.170000076293945
2022-11-28,7.909999847412109
2022-11-29,7.78000020980835
2022-11-30,8.149999618530273
2022-12-01,8.3100004196167
2022-12-02,8.40999984741211
2022-12-05,8.470000267028809
2022-12-06,8.050000190734863
2022-12-07,7.949999809265137
2022-12-08,7.769999980926514
2022-12-09,7.860000133514404
2022-12-12,7.820000171661377
2022-12-13,8.029999732971191
2022-12-14,8.260000228881836
2022-12-15,8.109999656677246
2022-12-16,7.78000020980835
2022-12-19,7.619999885559082
2022-12-20,7.679999828338623
2022-12-21,7.960000038146973
2022-12-22,8.020000457763672
2022-12-23,8.119999885559082
2022-12-27,8.130000114440918
2022-12-28,8.039999961853027
2022-12-29,8.529999732971191
2022-12-30,8.5
2023-01-03,8.739999771118164
