Date,SMTC
2022-10-06,29.229999542236328
2022-10-07,27.229999542236328
2022-10-10,27.549999237060547
2022-10-11,26.15999984741211
2022-10-12,26.360000610351562
2022-10-13,27.030000686645508
2022-10-14,25.649999618530273
2022-10-17,26.739999771118164
2022-10-18,26.290000915527344
2022-10-19,26.0
2022-10-20,25.979999542236328
2022-10-21,26.68000030517578
2022-10-24,26.530000686645508
2022-10-25,27.3799991607666
2022-10-26,26.959999084472656
2022-10-27,26.559999465942383
2022-10-28,27.940000534057617
2022-10-31,27.690000534057617
2022-11-01,28.040000915527344
2022-11-02,26.959999084472656
2022-11-03,26.770000457763672
2022-11-04,27.510000228881836
2022-11-07,28.09000015258789
2022-11-08,27.950000762939453
2022-11-09,27.260000228881836
2022-11-10,29.790000915527344
2022-11-11,30.780000686645508
2022-11-14,29.729999542236328
2022-11-15,30.610000610351562
2022-11-16,29.299999237060547
2022-11-17,29.40999984741211
2022-11-18,29.489999771118164
2022-11-21,28.81999969482422
2022-11-22,29.6200008392334
2022-11-23,30.40999984741211
