Date,GNTX
2022-11-25,28.760000228881836
2022-11-28,28.530000686645508
2022-11-29,28.3700008392334
2022-11-30,28.899999618530273
2022-12-01,29.079999923706055
2022-12-02,28.479999542236328
2022-12-05,27.989999771118164
2022-12-06,27.459999084472656
2022-12-07,27.290000915527344
2022-12-08,27.5
2022-12-09,27.260000228881836
2022-12-12,27.489999771118164
2022-12-13,27.43000030517578
2022-12-14,27.610000610351562
2022-12-15,26.920000076293945
2022-12-16,26.670000076293945
2022-12-19,26.639999389648438
2022-12-20,26.81999969482422
2022-12-21,27.350000381469727
2022-12-22,26.739999771118164
2022-12-23,26.989999771118164
2022-12-27,27.1200008392334
2022-12-28,26.799999237060547
2022-12-29,27.3799991607666
2022-12-30,27.270000457763672
2023-01-03,27.690000534057617
