Date,RGLD
2022-11-25,108.5199966430664
2022-11-28,105.20999908447266
2022-11-29,108.7300033569336
2022-11-30,112.33000183105469
2022-12-01,114.0
2022-12-02,113.72000122070312
2022-12-05,110.47000122070312
2022-12-06,110.66999816894531
2022-12-07,111.5999984741211
2022-12-08,111.98999786376953
2022-12-09,110.55000305175781
2022-12-12,108.98999786376953
2022-12-13,112.44000244140625
2022-12-14,111.55999755859375
2022-12-15,106.94999694824219
2022-12-16,107.4000015258789
2022-12-19,106.52999877929688
2022-12-20,110.38999938964844
2022-12-21,111.9800033569336
2022-12-22,111.79000091552734
2022-12-23,112.83999633789062
2022-12-27,114.41000366210938
2022-12-28,111.5
2022-12-29,112.25
2022-12-30,112.72000122070312
2023-01-03,116.83000183105469
2023-01-04,119.22000122070312
